,age,prev_year_min_avg,career_min_avg,prev_year_competition_Currie Cup,prev_year_competition_England Championship,prev_year_competition_England Premiership,prev_year_competition_NPC,prev_year_competition_National Rugby Championship,prev_year_competition_Pro D2,prev_year_competition_Super Rugby,prev_year_competition_Top 14,prev_year_competition_United Rugby Championship,competition_Currie Cup,competition_England Championship,competition_England Premiership,competition_NPC,competition_National Rugby Championship,competition_Pro D2,competition_Super Rugby,competition_Top 14,competition_United Rugby Championship,pred
18,0.4230769230769231,0.4556818181818182,0.395,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
19,0.40384615384615385,0.5571428571428572,0.32083333333333336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20,0.38461538461538464,0.16071428571428573,0.17045454545454547,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
25,0.6346153846153846,0.8945000000000001,0.8955769230769232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0.5961538461538461,0.925,0.892650462962963,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,0.5769230769230769,0.9765625,0.8905788177339902,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,0.5384615384615384,0.798611111111111,0.879509493670886,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
33,0.5192307692307693,0.9273148148148149,0.8843959731543624,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53,0.5384615384615384,0.37884615384615383,0.5277027027027027,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
61,0.46153846153846156,0.49482758620689654,0.5850574712643678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
82,0.40384615384615385,0.9828125,0.9828125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,0.4230769230769231,0.88125,0.8330882352941176,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
105,0.4423076923076923,0.31666666666666665,0.7022058823529412,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
108,0.40384615384615385,0.1375,0.5953125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
109,0.40384615384615385,0.1375,0.5953125,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
155,0.4423076923076923,0.41583333333333333,0.3981707317073171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
159,0.40384615384615385,0.04375,0.04375,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
194,0.46153846153846156,0.614,0.5925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
226,0.5384615384615384,0.984375,0.7731182795698925,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
230,0.5,0.6,0.6737068965517241,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
231,0.4807692307692308,0.6330357142857144,0.6838235294117647,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
242,0.4807692307692308,0.68828125,0.6913851351351352,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
289,0.5384615384615384,0.915,0.8928308823529412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
290,0.5192307692307693,1.0,0.8799418604651162,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
292,0.5,0.7755434782608696,0.7755434782608696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
307,0.38461538461538464,0.6858333333333333,0.6725,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
327,0.4423076923076923,0.7112499999999999,0.6059931506849315,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
342,0.38461538461538464,0.5733333333333334,0.46630434782608693,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
345,0.5192307692307693,0.7147321428571429,0.609963768115942,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
372,0.4807692307692308,0.7607142857142857,0.744672131147541,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
374,0.4423076923076923,0.7484375,0.739423076923077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
379,0.46153846153846156,0.9044354838709678,0.8548913043478261,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
380,0.4423076923076923,0.94375,0.7525000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
384,0.40384615384615385,0.5395833333333333,0.5395833333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
411,0.38461538461538464,0.719078947368421,0.6385416666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
412,0.36538461538461536,0.3325,0.3325,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
448,0.4230769230769231,0.593452380952381,0.5226351351351352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
507,0.4423076923076923,0.8142857142857143,0.7341101694915254,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
575,0.46153846153846156,0.778125,0.7683035714285714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
623,0.40384615384615385,0.3375,0.2625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
639,0.40384615384615385,0.4967391304347826,0.4446428571428571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
640,0.38461538461538464,0.30625,0.205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
641,0.36538461538461536,0.1375,0.1375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
692,0.4423076923076923,0.7725,0.81484375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
702,0.4807692307692308,0.5230769230769231,0.4802816901408451,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
704,0.4423076923076923,0.4883333333333334,0.47578125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
706,0.4230769230769231,0.2875,0.2875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
713,0.4423076923076923,0.5619047619047619,0.5386363636363637,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
714,0.4230769230769231,0.66171875,0.5299107142857143,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
717,0.38461538461538464,0.5193181818181818,0.47850000000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
742,0.4807692307692308,0.13125,0.13125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
757,0.5576923076923077,0.5857142857142856,0.6582291666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
760,0.5384615384615384,0.8125,0.662721238938053,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
779,0.38461538461538464,0.42000000000000004,0.42000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
796,0.46153846153846156,0.9359375,0.9359375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
805,0.5576923076923077,0.788,0.7228448275862069,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
806,0.5384615384615384,0.9692708333333334,0.7092708333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
808,0.5,0.6883333333333334,0.6142857142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
810,0.5,0.6883333333333334,0.6142857142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
822,0.4230769230769231,0.9402777777777779,0.9402777777777779,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
856,0.38461538461538464,0.8125,0.6534090909090909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
871,0.4807692307692308,0.8641304347826088,0.7385989010989011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
894,0.5,0.9154166666666667,0.9438253012048193,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
902,0.5384615384615384,0.503125,0.6847560975609757,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
904,0.5,0.7705882352941177,0.7323684210526316,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
906,0.4807692307692308,0.8517857142857143,0.7240384615384615,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
928,0.6153846153846154,0.49027777777777776,0.7178353658536586,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
938,0.5384615384615384,0.4458333333333333,0.7228971962616823,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
947,0.4807692307692308,0.64125,0.6995833333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
954,0.4230769230769231,0.15833333333333333,0.15833333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
965,0.46153846153846156,0.8388888888888889,0.6801470588235294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
972,0.5769230769230769,0.5966666666666667,0.6163109756097561,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
994,0.40384615384615385,0.4625,0.3790178571428572,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
996,0.40384615384615385,0.4625,0.3790178571428572,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1011,0.5,0.40694444444444444,0.40694444444444444,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1077,0.34615384615384615,0.475,0.475,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1093,0.34615384615384615,0.45555555555555555,0.45555555555555555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1102,0.4230769230769231,0.7729166666666667,0.7181603773584906,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1103,0.40384615384615385,0.7317307692307693,0.6900000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1107,0.36538461538461536,0.60875,0.5875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1111,0.4230769230769231,0.795138888888889,0.8567307692307692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1114,0.36538461538461536,0.225,0.225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1133,0.5961538461538461,0.8532407407407406,0.7761194029850746,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1134,0.5769230769230769,0.575,0.756658878504673,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1145,0.4807692307692308,0.76125,0.6703947368421053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1178,0.36538461538461536,0.6,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1184,0.5192307692307693,0.6675,0.4741883116883117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1187,0.4807692307692308,0.3113095238095238,0.4333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1189,0.46153846153846156,0.5791666666666667,0.5045138888888889,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1197,0.5769230769230769,0.8410714285714287,0.7039814814814814,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1215,0.5,0.65625,0.6929545454545455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1297,0.38461538461538464,0.6953947368421052,0.6238636363636363,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1365,0.4230769230769231,0.8302631578947368,0.7195652173913044,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1366,0.40384615384615385,0.19375,0.19375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1370,0.4230769230769231,0.43125,0.4196428571428571,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1387,0.5384615384615384,0.6633928571428571,0.6008223684210526,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1405,0.4807692307692308,0.91875,0.8523076923076923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1406,0.46153846153846156,0.7221153846153846,0.8455508474576272,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1408,0.4423076923076923,0.8700892857142858,0.8608333333333332,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1456,0.5192307692307693,0.7566666666666666,0.6321601941747572,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1472,0.40384615384615385,0.47578125,0.479296875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1500,0.4230769230769231,0.925,0.7765625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1501,0.40384615384615385,0.346875,0.33125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1525,0.4807692307692308,0.9395833333333334,0.8383522727272726,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1529,0.4423076923076923,0.846875,0.846875,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1546,0.36538461538461536,0.79375,0.79375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1549,0.4807692307692308,0.5289473684210526,0.5094594594594595,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1550,0.46153846153846156,0.46875,0.48888888888888893,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1557,0.5384615384615384,0.565625,0.4995833333333334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1578,0.34615384615384615,0.3416666666666667,0.3416666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1630,0.5,0.8708333333333333,0.7122881355932204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1665,0.34615384615384615,0.6097222222222223,0.6097222222222223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1670,0.5384615384615384,0.9708333333333334,0.7731481481481481,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1673,0.5192307692307693,0.690625,0.7484375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1682,0.4423076923076923,0.5375,0.6222222222222222,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1685,0.4230769230769231,0.6464285714285715,0.6464285714285715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1706,0.40384615384615385,0.8227941176470589,0.7957089552238805,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1717,0.46153846153846156,0.646875,0.646875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1789,0.38461538461538464,0.27232142857142855,0.33359375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1793,0.6153846153846154,0.684375,0.7443349753694581,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1848,0.5384615384615384,0.90625,0.88984375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1875,0.4807692307692308,0.7315217391304347,0.4875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1877,0.4423076923076923,0.4116666666666666,0.3733796296296296,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1879,0.4230769230769231,0.40499999999999997,0.35865384615384616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1915,0.34615384615384615,0.6647727272727273,0.6647727272727273,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1919,0.4230769230769231,0.8125,0.8157894736842104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1935,0.40384615384615385,0.7179347826086956,0.7179347826086956,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1977,0.5,0.6603260869565217,0.595,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1978,0.4807692307692308,0.6022727272727273,0.5267045454545454,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2019,0.5384615384615384,0.7443181818181819,0.7315789473684211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2038,0.40384615384615385,0.3025,0.3025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2040,0.40384615384615385,0.3025,0.3025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2049,0.38461538461538464,0.0875,0.0875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2050,0.38461538461538464,0.0875,0.0875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2059,0.4230769230769231,0.271875,0.2013888888888889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2070,0.4423076923076923,0.8258928571428571,0.7811170212765958,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2085,0.5192307692307693,0.6791666666666667,0.8401881720430108,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2090,0.46153846153846156,0.8841666666666667,0.8286637931034482,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2128,0.46153846153846156,0.8702586206896552,0.62759009009009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2169,0.5576923076923077,0.6,0.8060077519379846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2176,0.5,0.6,0.834765625,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2204,0.4807692307692308,0.9225961538461538,0.7512387387387387,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2206,0.4423076923076923,0.8923913043478262,0.666015625,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2208,0.4230769230769231,0.6191176470588236,0.5390243902439025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2211,0.36538461538461536,0.590625,0.5475,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2213,0.34615384615384615,0.375,0.375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2217,0.4230769230769231,0.7448863636363636,0.7084302325581395,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2225,0.4230769230769231,0.8161764705882353,0.5782738095238095,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2227,0.38461538461538464,0.2225,0.30833333333333335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2228,0.36538461538461536,0.7375,0.7375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2245,0.4423076923076923,0.7034090909090909,0.7034090909090909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2256,0.36538461538461536,0.2875,0.2875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2269,0.4423076923076923,0.4895833333333333,0.5604166666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2271,0.40384615384615385,0.6125,0.6325000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2272,0.38461538461538464,0.7125,0.7125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2276,0.4423076923076923,0.8258928571428571,0.8463815789473685,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2280,0.40384615384615385,0.8354166666666666,0.7571428571428571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2308,0.36538461538461536,0.9782894736842105,0.9782894736842105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2325,0.4807692307692308,0.8036458333333334,0.7872549019607843,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2327,0.4423076923076923,0.765,0.759375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2329,0.4230769230769231,0.8386363636363636,0.759078947368421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2377,0.4423076923076923,0.3572916666666667,0.3572916666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2386,0.5384615384615384,0.6125,0.5997905027932962,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2388,0.5,0.5588541666666667,0.6040111940298507,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2390,0.4807692307692308,0.6849137931034484,0.6138636363636364,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2394,0.40384615384615385,0.5571428571428572,0.5611111111111111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2425,0.4230769230769231,0.8066666666666666,0.76125,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2428,0.40384615384615385,0.625,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2443,0.5961538461538461,0.661,0.7034090909090909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2445,0.5576923076923077,0.7119047619047618,0.7408582089552238,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2447,0.5384615384615384,0.775,0.7540760869565217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2448,0.5192307692307693,0.6267857142857143,0.740625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2450,0.4807692307692308,0.9223214285714286,0.9223214285714286,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2459,0.4230769230769231,0.9168478260869565,0.8905172413793103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2501,0.6153846153846154,0.8664473684210525,0.6440656565656566,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2503,0.5769230769230769,0.5085526315789474,0.6039156626506024,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2517,0.4423076923076923,0.4727272727272728,0.6679347826086957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2518,0.4230769230769231,0.7875,0.7292857142857143,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2520,0.40384615384615385,0.6802631578947368,0.6802631578947368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2527,0.36538461538461536,0.36625,0.36625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2557,0.6346153846153846,0.41477272727272724,0.48247950819672136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2558,0.6346153846153846,0.41477272727272724,0.48247950819672136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2562,0.5961538461538461,0.5821428571428571,0.4805,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2563,0.5769230769230769,0.3625,0.4728494623655914,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2569,0.5384615384615384,0.6181818181818182,0.5608333333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2574,0.4807692307692308,0.2017857142857143,0.2017857142857143,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2596,0.5192307692307693,0.63125,0.5577777777777777,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2630,0.5961538461538461,0.515625,0.5502884615384616,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2651,0.4423076923076923,0.6361111111111111,0.6361111111111111,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2669,0.4807692307692308,0.8194444444444444,0.49799107142857146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2720,0.5384615384615384,0.37374999999999997,0.35220588235294115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2727,0.4230769230769231,0.625,0.625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2741,0.4807692307692308,0.7148809523809524,0.6483156028368795,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2742,0.46153846153846156,0.8016304347826088,0.6366666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2744,0.4423076923076923,0.7107142857142856,0.5975515463917526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2757,0.4807692307692308,0.3325,0.25277777777777777,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2767,0.4230769230769231,0.6977272727272728,0.60625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2769,0.40384615384615385,0.5614130434782608,0.5660000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2772,0.36538461538461536,0.45,0.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2791,0.40384615384615385,0.590625,0.7125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2792,0.38461538461538464,0.875,0.875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2873,0.38461538461538464,0.821875,0.8391666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2891,0.46153846153846156,0.8903846153846153,0.8832720588235293,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2897,0.40384615384615385,0.928125,0.95546875,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2914,0.5961538461538461,0.9141304347826088,0.8806192660550458,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2915,0.5769230769230769,0.8048913043478262,0.8766666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2917,0.5576923076923077,0.94375,0.8862645348837208,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2918,0.5384615384615384,0.920625,0.8834603658536585,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2954,0.4807692307692308,0.5052083333333333,0.5052083333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2986,0.4807692307692308,0.9776785714285714,0.9776785714285714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2998,0.5576923076923077,1.0,0.8836382113821137,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3010,0.4423076923076923,0.94765625,0.9206395348837209,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3094,0.46153846153846156,0.7441666666666666,0.7247282608695652,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
