,age,prev_year_min_avg,career_min_avg,prev_year_competition_Currie Cup,prev_year_competition_England Championship,prev_year_competition_England Premiership,prev_year_competition_NPC,prev_year_competition_National Rugby Championship,prev_year_competition_Pro D2,prev_year_competition_Super Rugby,prev_year_competition_Top 14,prev_year_competition_United Rugby Championship,competition_Currie Cup,competition_England Championship,competition_England Premiership,competition_NPC,competition_National Rugby Championship,competition_Pro D2,competition_Super Rugby,competition_Top 14,competition_United Rugby Championship,pred
34016,0.38461538461538464,0.515625,0.515625,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34017,0.38461538461538464,0.515625,0.515625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34024,0.38461538461538464,0.7232142857142857,0.7232142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34032,0.38461538461538464,0.4625,0.5492647058823529,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34039,0.34615384615384615,0.8875,0.7285714285714285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34046,0.36538461538461536,0.6224999999999999,0.6224999999999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34052,0.46153846153846156,0.915,0.8510416666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34059,0.40384615384615385,0.8609375,0.8422619047619048,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34080,0.4230769230769231,0.3557692307692307,0.42544642857142856,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
34114,0.40384615384615385,0.6791666666666667,0.6791666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34118,0.46153846153846156,0.55,0.4321428571428571,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34122,0.5576923076923077,0.5541666666666667,0.5781914893617022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34132,0.46153846153846156,0.7681818181818182,0.7681818181818182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34138,0.5384615384615384,0.48125,0.5888671875,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
34139,0.5384615384615384,0.48125,0.5888671875,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
34165,0.4423076923076923,0.88125,0.634090909090909,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34171,0.38461538461538464,0.4375,0.4375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34200,0.6730769230769231,0.4984375,0.6235491071428572,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
